LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.760882053300085,-38.53168121540568,0,17,5
-3.728345825973524,-38.46260910086418,2,12,5
-3.734602948161176,-38.55347526243206,4,8,0
-3.726190501061823,-38.46569665506819,5,5,5
-3.726190501061823,-38.46569665506819,5,6,5
-3.795284225934316,-38.54893317398271,0,11,2
-3.858176252728548,-38.4894576147347,5,11,4
-3.850768795754586,-38.512215284133326,2,13,4
-3.879936578110043,-38.60997175918893,1,7,3
-3.846813124679848,-38.47329271583445,6,15,4
-3.847400397655765,-38.5223188476652,2,10,4
-3.7453056569155327,-38.59239352004272,5,8,0
-3.811221974166751,-38.52001881878899,1,16,4
-3.811221974166751,-38.52001881878899,0,8,4
-3.863008137078005,-38.500113269759545,1,13,4
-3.863008137078005,-38.500113269759545,0,13,4
-3.728585743159593,-38.58949825957757,1,13,0
-3.727956037559472,-38.5324014759014,3,20,0
-3.770148143405844,-38.54613905673535,2,14,2
