LATITUDE,LONGITUDE,day_of_week,hour,cluster
-3.791081179618307,-38.57912672698791,1,9,2
-3.791081179618307,-38.57912672698791,1,8,2
-3.774557013595398,-38.55427412949605,1,12,2
-3.8678907639650015,-38.62762883902248,2,15,3
-3.864757992536633,-38.62740440074477,3,6,3
-3.840944494266834,-38.5252600833029,2,7,4
-3.840944494266834,-38.5252600833029,0,9,4
-3.840944494266834,-38.5252600833029,4,8,4
-3.840944494266834,-38.5252600833029,0,12,4
-3.840944494266834,-38.5252600833029,5,12,4
-3.825137693072533,-38.57626552919504,0,13,2
-3.825137693072533,-38.57626552919504,2,9,2
-3.793226772943762,-38.53523578477654,2,8,2
-3.793226772943762,-38.53523578477654,2,8,2
-3.793226772943762,-38.53523578477654,3,9,2
-3.793226772943762,-38.53523578477654,6,7,2
-3.791102334161814,-38.5498716422655,4,10,2
-3.849225878570789,-38.52219184604962,2,16,4
-3.849225878570789,-38.52219184604962,2,10,4
-3.743493833740589,-38.66446581092207,4,8,1
-3.883211931844939,-38.62087802584131,1,15,3
-3.7280972084674,-38.53480825518025,0,11,0
-3.859011607027264,-38.49969895861853,2,7,4
-3.717427814187029,-38.58410121654449,0,7,0
-3.881638273239217,-38.62023103564805,0,7,3
-3.7384634280070426,-38.6154706508132,3,13,1
-3.8012559474991927,-38.496075458036586,0,10,4
-3.762904307831157,-38.53153523281369,3,14,5
-3.762904307831157,-38.53153523281369,1,8,5
-3.830525120851468,-38.476191270598,2,7,4
-3.753995227290377,-38.54514772929103,0,22,0
-3.799137078137544,-38.49651294283391,3,9,4
-3.75297350300962,-38.544059424481,0,10,0
-3.786640902341358,-38.63015863838594,4,17,1
-3.786640902341358,-38.63015863838594,3,16,1
-3.7359950269380353,-38.59012825276912,4,7,0
-3.7359950269380353,-38.59012825276912,1,8,0
-3.809422697525608,-38.58161358389713,0,15,2
-3.761731604235568,-38.51020442177963,2,16,5
-3.744555698254908,-38.58657673671527,2,13,0
-3.791102334161814,-38.5498716422655,4,13,2
-3.833164764039072,-38.52234011191268,1,14,4
-3.833164764039072,-38.52234011191268,1,10,4
-3.833164764039072,-38.52234011191268,1,9,4
-3.833164764039072,-38.52234011191268,0,9,4
-3.8322342609812607,-38.522267475979234,2,13,4
-3.8275247871952383,-38.57797519374648,2,10,2
-3.8275247871952383,-38.57797519374648,2,9,2
-3.818558419062724,-38.58474855178443,2,11,2
-3.8184250208066977,-38.47378683750029,2,9,4
-3.7678986969238872,-38.62915436762001,1,9,1
-3.7678986969238872,-38.62915436762001,0,11,1
-3.8179886985310887,-38.57663983971983,1,16,2
-3.733237401357595,-38.50388761781042,0,8,5
-3.836023419813608,-38.47836636295313,5,9,4
-3.869347333121963,-38.49109407270166,3,12,4
-3.73907340064118,-38.49611201498583,5,9,5
-3.7341671638600777,-38.59095477097503,1,9,0
-3.7341671638600777,-38.59095477097503,4,9,0
-3.845408842800468,-38.5245137834839,0,9,4
-3.844645838291792,-38.52620377298543,1,7,4
-3.889077809977005,-38.62907394872912,3,14,3
-3.7367728855828615,-38.52695965249117,4,8,5
-3.7367728855828615,-38.52695965249117,3,14,5
-3.832704502210545,-38.52223072557776,0,9,4
-3.760232139559727,-38.61119000116648,2,10,1
-3.8354862737136,-38.59224141260141,1,13,2
-3.868005412773325,-38.49612159346804,2,10,4
-3.767084167343031,-38.618049464896096,6,11,1
-3.8066311094727663,-38.58202375561751,0,8,2
-3.802873749005132,-38.58914052469745,1,15,2
-3.722514032580973,-38.55457056199088,2,13,0
-3.7645029367235634,-38.54547742364604,4,11,0
-3.7645029367235634,-38.54547742364604,0,10,0
-3.766349560782191,-38.51663586424618,0,15,5
-3.834363077966693,-38.5188476977438,3,12,4
-3.745369082823217,-38.55627427551407,3,10,0
-3.735399671943656,-38.59640945629965,2,14,0
-3.783236176670413,-38.48241480097305,0,7,5
-3.789217744948724,-38.58310714005136,3,16,2
-3.739618520739117,-38.47721528070965,2,10,5
-3.847658287350983,-38.47367999873494,3,8,4
-3.73768740839656,-38.5943045980261,3,13,0
-3.8000608663201607,-38.49929012708859,4,16,4
-3.856117803720882,-38.49482490681423,4,6,4
-3.856117803720882,-38.49482490681423,0,11,4
-3.790517771842263,-38.46387061271791,0,17,5
-3.739562625148397,-38.64923641722869,4,7,1
-3.7181890204446297,-38.56459162861144,3,8,0
-3.7181890204446297,-38.56459162861144,0,10,0
-3.802260152476285,-38.53555162983534,0,12,2
-3.772735427810205,-38.621397543971,4,16,1
-3.7106032081502898,-38.55305112188549,0,19,0
-3.7106032081502898,-38.55305112188549,0,21,0
-3.7106032081502898,-38.55305112188549,5,15,0
-3.79965057204266,-38.55613872896616,2,12,2
-3.764093036408556,-38.54250652339734,2,11,5
-3.764093036408556,-38.54250652339734,6,8,5
