cluster,day_of_week,hour,qtd_pedidos
2,3,15,3.8974358974358974
2,3,16,4.657894736842105
2,3,17,2.7222222222222223
2,3,18,2.53125
2,3,19,2.5294117647058822
2,3,20,1.25
2,3,21,1.2777777777777777
2,3,22,1.4545454545454546
2,3,23,1.0
2,4,0,1.0
2,4,1,1.3333333333333333
2,4,2,1.0
2,4,4,1.0
2,4,5,1.0
2,4,6,2.260869565217391
2,4,7,3.888888888888889
2,4,8,9.76923076923077
2,4,9,7.55
2,4,10,6.45
2,4,11,5.512820512820513
2,4,12,3.5135135135135136
2,4,13,4.487179487179487
2,4,14,4.846153846153846
2,4,15,3.925
2,4,16,4.594594594594595
2,4,17,3.28125
2,4,18,1.896551724137931
2,4,19,1.5
2,4,20,1.0
2,4,21,1.3333333333333333
2,4,22,1.0
2,4,23,1.0
2,5,0,1.25
2,5,2,1.0
2,5,3,1.0
2,5,4,1.0
2,5,5,1.0
2,5,6,1.7692307692307692
2,5,7,2.9696969696969697
2,5,8,4.72972972972973
2,5,9,3.641025641025641
2,5,10,3.59375
2,5,11,3.1842105263157894
2,5,12,2.566666666666667
2,5,13,1.7272727272727273
2,5,14,1.8461538461538463
2,5,15,2.0
2,5,16,1.7647058823529411
2,5,17,1.64
2,5,18,1.5
2,5,19,1.7058823529411764
2,5,20,1.1428571428571428
2,5,21,1.2
2,5,22,1.4285714285714286
2,5,23,1.0
2,6,1,1.0
2,6,3,1.0
2,6,4,1.0
2,6,5,1.1428571428571428
2,6,6,1.5625
2,6,7,1.9259259259259258
2,6,8,2.75
2,6,9,2.5806451612903225
2,6,10,2.4285714285714284
2,6,11,1.8
2,6,12,1.8571428571428572
2,6,13,1.5238095238095237
2,6,14,1.7058823529411764
2,6,15,1.5416666666666667
2,6,16,1.625
2,6,17,1.52
2,6,18,1.4375
2,6,19,1.2307692307692308
2,6,20,1.2
2,6,21,1.25
2,6,22,1.0
2,6,23,1.0
3,0,1,1.0
3,0,3,1.0
3,0,4,1.0
3,0,5,1.2
3,0,6,1.4545454545454546
3,0,7,2.12
3,0,8,4.805555555555555
3,0,9,4.078947368421052
3,0,10,3.5675675675675675
3,0,11,2.5625
3,0,12,2.56
3,0,13,2.53125
3,0,14,2.2758620689655173
3,0,15,2.25
3,0,16,2.5454545454545454
3,0,17,1.9523809523809523
3,0,18,1.8
3,0,19,1.1538461538461537
3,0,20,2.0
3,0,21,1.0
3,0,22,1.25
3,0,23,1.5
3,1,0,1.0
3,1,2,1.0
3,1,4,1.5
3,1,5,1.0
3,1,6,1.2857142857142858
3,1,7,2.730769230769231
3,1,8,4.897435897435898
3,1,9,3.914285714285714
3,1,10,3.108108108108108
3,1,11,2.6129032258064515
3,1,12,2.2
3,1,13,2.242424242424242
3,1,14,2.742857142857143
3,1,15,2.5
3,1,16,2.1666666666666665
3,1,17,1.9583333333333333
3,1,18,1.8823529411764706
3,1,19,1.5
3,1,20,1.0
3,1,21,1.0
3,1,22,1.125
3,1,23,1.0
3,2,1,1.0
3,2,4,1.0
3,2,5,1.2
3,2,6,1.4705882352941178
3,2,7,2.096774193548387
3,2,8,5.324324324324325
3,2,9,4.371428571428571
3,2,10,3.9705882352941178
3,2,11,2.84375
